folder,class_id,label,make,model,body,year_start,year_end,matched
CITROEN_C3_Pluriel_20032010,1118,Citroen CITROEN C3 Pluriel,Citroen,CITROEN C3 Pluriel,convertible,2003,2010,True
CITROEN_C4_2020Present,1119,Citroen CITROEN C4,Citroen,CITROEN C4,suv,2020,2024,True
CITROEN_C4_Aircross_20122017,1120,Citroen CITROEN C4 Aircross,Citroen,CITROEN C4 Aircross,suv,2012,2017,True
CITROEN_C4_Cactus_20142018,1121,Citroen CITROEN C4 Cactus,Citroen,CITROEN C4 Cactus,hatchback,2014,2020,True
CITROEN_C4_Cactus_20182020,1122,Citroen CITROEN C4 Cactus,Citroen,CITROEN C4 Cactus,hatchback,2014,2020,True
CITROEN_C4_Coupe_20042008,1123,Citroen CITROEN C4 Coupe,Citroen,CITROEN C4 Coupe,other,2004,2010,True
CITROEN_C4_Hatchback_20042008,1124,Citroen CITROEN C4 Hatchback,Citroen,CITROEN C4 Hatchback,hatchback,2004,2013,True
CITROEN_C4_Hatchback_20102013,1125,Citroen CITROEN C4 Hatchback,Citroen,CITROEN C4 Hatchback,hatchback,2004,2013,True
CITROEN_C4_Picasso_20072010,1126,Citroen CITROEN C4 Picasso,Citroen,CITROEN C4 Picasso,van,2007,2024,True
CITROEN_C4_Picasso_20102013,1127,Citroen CITROEN C4 Picasso,Citroen,CITROEN C4 Picasso,van,2007,2024,True
CITROEN_C4_Picasso_20132016,1128,Citroen CITROEN C4 Picasso,Citroen,CITROEN C4 Picasso,van,2007,2024,True
CITROEN_C4_Sedan_20072012,1129,Citroen CITROEN C4 Sedan,Citroen,CITROEN C4 Sedan,other,2007,2012,True
CITROEN_C4_X_2022Present,1130,Citroen CITROEN C4 X,Citroen,CITROEN C4 X,suv,2020,2024,True
CITROEN_C5_Estate_20012004,1131,Citroen CITROEN C5 Estate,Citroen,CITROEN C5 Estate,wagon,2001,2024,True
CITROEN_C5_Estate_20042008,1132,Citroen CITROEN C5 Estate,Citroen,CITROEN C5 Estate,wagon,2001,2024,True
CITROEN_C5_Liftback_20012004,1133,Citroen CITROEN C5 Liftback,Citroen,CITROEN C5 Liftback,hatchback,2001,2008,True
CITROEN_C5_Liftback_20042008,1134,Citroen CITROEN C5 Liftback,Citroen,CITROEN C5 Liftback,hatchback,2001,2008,True
CITROEN_C5_Sedan_20082011,1135,Citroen CITROEN C5 Sedan,Citroen,CITROEN C5 Sedan,other,2008,2017,True
CITROEN_C5_Sedan_20102017,1136,Citroen CITROEN C5 Sedan,Citroen,CITROEN C5 Sedan,other,2008,2017,True
CITROEN_C5_Tourer_20082010,1137,Citroen CITROEN C5 Tourer,Citroen,CITROEN C5 Tourer,wagon,2001,2024,True
CITROEN_C5_X_2021Present,1138,Citroen CITROEN C5 X,Citroen,CITROEN C5 X,suv,2021,2024,True
CITROEN_C8_20022008,1139,Citroen CITROEN C8,Citroen,CITROEN C8,van,2002,2014,True
CITROEN_CCrosser_20072012,1140,Citroen CITROEN CCrosser,Citroen,CITROEN CCrosser,suv,2007,2012,True
CITROEN_CElysee_2013Present,1141,Citroen CITROEN CElysee,Citroen,CITROEN CElysee,other,2013,2024,True
CITROEN_CX_19741982,1142,Citroen CITROEN CX,Citroen,CITROEN CX,hatchback,1974,1989,True
CITROEN_CZero_2010Present,1143,Citroen CITROEN CZero,Citroen,CITROEN CZero,hatchback,2010,2024,True
CITROEN_DS4_2010Present,1144,Citroen CITROEN DS4,Citroen,CITROEN DS4,hatchback,2010,2024,True
CITROEN_DS5_2011Present,1145,Citroen CITROEN DS5,Citroen,CITROEN DS5,hatchback,2011,2024,True
CITROEN_DS_3_20092014,1146,Citroen CITROEN DS 3,Citroen,CITROEN DS 3,hatchback,2009,2014,True
CITROEN_Dyane_19691983,1147,Citroen CITROEN Dyane,Citroen,CITROEN Dyane,hatchback,1969,1983,True
CITROEN_EMehari_20162018,1148,Citroen CITROEN EMehari,Citroen,CITROEN EMehari,convertible,2016,2024,True
CITROEN_EMehari_2018Present,1149,Citroen CITROEN EMehari,Citroen,CITROEN EMehari,convertible,2016,2024,True
CITROEN_Evasion_19941998,1150,Citroen CITROEN Evasion,Citroen,CITROEN Evasion,van,1994,2002,True
CITROEN_Grand_C4_Picasso_20132016,1151,Citroen CITROEN Grand C4 Picasso,Citroen,CITROEN Grand C4 Picasso,van,2006,2024,True
CITROEN_Grand_C4_Picasso_2016Present,1152,Citroen CITROEN Grand C4 Picasso,Citroen,CITROEN Grand C4 Picasso,van,2006,2024,True
CITROEN_LNA_19781984,1153,Citroen CITROEN LNA,Citroen,CITROEN LNA,hatchback,1978,1984,True
CITROEN_Nemo_Combi_20082015,1154,Citroen CITROEN Nemo Combi,Citroen,CITROEN Nemo Combi,van,2008,2015,True
CITROEN_SM_19701975,1155,Citroen CITROEN SM,Citroen,CITROEN SM,hatchback,1970,1975,True
CITROEN_XM_19891994,1156,Citroen CITROEN XM,Citroen,CITROEN XM,hatchback,1989,2000,True
CITROEN_Xantia_19931998,1157,Citroen CITROEN Xantia,Citroen,CITROEN Xantia,hatchback,1993,2001,True
CITROEN_Xsara_Coupe_VTS_20002003,1158,Citroen CITROEN Xsara Coupe VTS,Citroen,CITROEN Xsara Coupe VTS,other,1998,2003,True
CITROEN_Xsara_Picasso_20042012,1159,Citroen CITROEN Xsara Picasso,Citroen,CITROEN Xsara Picasso,van,1999,2012,True
CUPRA_Ateca_2018Present,1160,Cupra CUPRA Ateca,Cupra,CUPRA Ateca,suv,2018,2024,True
CUPRA_Born_2021Present,1161,Cupra CUPRA Born,Cupra,CUPRA Born,suv,2021,2024,True
CUPRA_Formentor_2020Present,1162,Cupra CUPRA Formentor,Cupra,CUPRA Formentor,suv,2020,2024,True
Chevrolet_TacumaRezzo,1163,Chevrolet CHEVROLET TacumaRezzo,Chevrolet,CHEVROLET TacumaRezzo,van,2004,2008,True
DACIA_Dokker_2012Present,1164,Dacia DACIA Dokker,Dacia,DACIA Dokker,van,2012,2024,True
DACIA_Dokker_Van_2012Present,1165,Dacia DACIA Dokker Van,Dacia,DACIA Dokker Van,van,2012,2024,True
DACIA_Duster_20102013,1166,Dacia DACIA Duster,Dacia,DACIA Duster,suv,2010,2024,True
DACIA_Duster_20132017,1167,Dacia DACIA Duster,Dacia,DACIA Duster,suv,2010,2024,True
DACIA_Duster_2021Present,1168,Dacia DACIA Duster,Dacia,DACIA Duster,suv,2010,2024,True
DACIA_Lodgy_2012Present,1169,Dacia DACIA Lodgy,Dacia,DACIA Lodgy,van,2012,2024,True
DACIA_Logan_20082012,1170,Dacia DACIA Logan,Dacia,DACIA Logan,other,2004,2024,True
DACIA_Logan_2020Present,1171,Dacia DACIA Logan,Dacia,DACIA Logan,other,2004,2024,True
DACIA_Logan_2_20122016,1172,Dacia DACIA Logan 2,Dacia,DACIA Logan 2,other,2004,2024,True
DACIA_Logan_MCV_20062008,1173,Dacia DACIA Logan MCV,Dacia,DACIA Logan MCV,wagon,2006,2024,True
DACIA_Logan_MCV_20082012,1174,Dacia DACIA Logan MCV,Dacia,DACIA Logan MCV,wagon,2006,2024,True
DACIA_Logan_MCV_20132016,1175,Dacia DACIA Logan MCV,Dacia,DACIA Logan MCV,wagon,2006,2024,True
DACIA_Logan_MCV_2016Present,1176,Dacia DACIA Logan MCV,Dacia,DACIA Logan MCV,wagon,2006,2024,True
DACIA_Logan_MCV_Stepway_2017Present,1177,Dacia DACIA Logan MCV Stepway,Dacia,DACIA Logan MCV Stepway,wagon,2017,2024,True
DACIA_Logan_Van_20072012,1178,Dacia DACIA Logan Van,Dacia,DACIA Logan Van,van,2007,2012,True
DACIA_Pickup_20072012,1179,Dacia DACIA Pickup,Dacia,DACIA Pickup,truck,2007,2012,True
DACIA_Sandero_20082012,1180,Dacia DACIA Sandero,Dacia,DACIA Sandero,hatchback,2008,2024,True
DACIA_Sandero_20162020,1181,Dacia DACIA Sandero,Dacia,DACIA Sandero,hatchback,2008,2024,True
DACIA_Sandero_2020Present,1182,Dacia DACIA Sandero,Dacia,DACIA Sandero,hatchback,2008,2024,True
DACIA_Sandero_2_20122016,1183,Dacia DACIA Sandero 2,Dacia,DACIA Sandero 2,hatchback,2008,2024,True
DACIA_Sandero_Stepway_20092012,1184,Dacia DACIA Sandero Stepway,Dacia,DACIA Sandero Stepway,suv,2009,2024,True
DACIA_Sandero_Stepway_20162020,1185,Dacia DACIA Sandero Stepway,Dacia,DACIA Sandero Stepway,suv,2009,2024,True
DACIA_Sandero_Stepway_2020Present,1186,Dacia DACIA Sandero Stepway,Dacia,DACIA Sandero Stepway,suv,2009,2024,True
DACIA_Sandero_Stepway_2_20122016,1187,Dacia DACIA Sandero Stepway 2,Dacia,DACIA Sandero Stepway 2,suv,2009,2024,True
DACIA_Spring_Electric_2021Present,1188,Dacia DACIA Spring Electric,Dacia,DACIA Spring Electric,suv,2021,2024,True
DAEWOO_G2X_20062009,1189,Daewoo DAEWOO G2X,Daewoo,DAEWOO G2X,convertible,2006,2009,True
DAEWOO_Gentra_20052011,1190,Daewoo DAEWOO Gentra,Daewoo,DAEWOO Gentra,hatchback,2005,2011,True
DAEWOO_Lacetti_5_doors_20032011,1191,Daewoo DAEWOO Lacetti 5 doors,Daewoo,DAEWOO Lacetti 5 doors,hatchback,2003,2011,True
DAEWOO_Leganza_19972002,1192,Daewoo DAEWOO Leganza,Daewoo,DAEWOO Leganza,other,1997,2002,True
DAEWOO_Matiz_20012005,1193,Daewoo DAEWOO Matiz,Daewoo,DAEWOO Matiz,hatchback,1998,2009,True
DAEWOO_Tosca_20062015,1194,Daewoo DAEWOO Tosca,Daewoo,DAEWOO Tosca,other,2006,2015,True
DAEWOO_Winstorm_20062011,1195,Daewoo DAEWOO Winstorm,Daewoo,DAEWOO Winstorm,suv,2006,2011,True
DAIHATSU_Copen_20042012,1196,Daihatsu DAIHATSU Copen,Daihatsu,DAIHATSU Copen,convertible,2004,2012,True
DAIHATSU_Cuore_2007Present,1197,Daihatsu DAIHATSU Cuore,Daihatsu,DAIHATSU Cuore,hatchback,2007,2024,True
DAIHATSU_Sirion_2_20052008,1198,Daihatsu DAIHATSU Sirion 2,Daihatsu,DAIHATSU Sirion 2,hatchback,2005,2008,True
DAIHATSU_Terios_20062017,1199,Daihatsu DAIHATSU Terios,Daihatsu,DAIHATSU Terios,suv,1997,2017,True
DAIHATSU_Trevis_20042009,1200,Daihatsu DAIHATSU Trevis,Daihatsu,DAIHATSU Trevis,hatchback,2004,2009,True
DATSUN_MiDo_2014Present,1201,Datsun DATSUN MiDo,Datsun,DATSUN MiDo,hatchback,2014,2024,True
DODGE_Avenger_20072010,1202,Dodge DODGE Avenger,Dodge,DODGE Avenger,other,2007,2014,True
DODGE_Caliber_20062011,1203,Dodge DODGE Caliber,Dodge,DODGE Caliber,hatchback,2006,2011,True
DODGE_Caliber_SRT4_20072011,1204,Dodge DODGE Caliber SRT4,Dodge,DODGE Caliber SRT4,hatchback,2007,2011,True
DODGE_Caravan_19831990,1205,Dodge DODGE Caravan,Dodge,DODGE Caravan,van,1983,2014,True
DODGE_Challenger_19691974,1206,Dodge DODGE Challenger,Dodge,DODGE Challenger,other,1969,2024,True
DODGE_Challenger_20072010,1207,Dodge DODGE Challenger,Dodge,DODGE Challenger,other,1969,2024,True
DODGE_Challenger_2015Present,1208,Dodge DODGE Challenger,Dodge,DODGE Challenger,other,1969,2024,True
DODGE_Challenger_SRT8_20082013,1209,Dodge DODGE Challenger SRT8,Dodge,DODGE Challenger SRT8,other,2008,2024,True
DODGE_Challenger_SRT_2015Present,1210,Dodge DODGE Challenger SRT,Dodge,DODGE Challenger SRT,other,2008,2024,True
DODGE_Charger_19681970,1211,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_19711972,1212,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_19741978,1213,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_19811987,1214,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_20052010,1215,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_20102015,1216,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_2015Present,1217,Dodge DODGE Charger,Dodge,DODGE Charger,other,1966,2024,True
DODGE_Charger_SRT8_2012Present,1218,Dodge DODGE Charger SRT8,Dodge,DODGE Charger SRT8,other,2006,2024,True
DODGE_Charger_SRT_20152019,1219,Dodge DODGE Charger SRT,Dodge,DODGE Charger SRT,other,2006,2024,True
DODGE_Charger_SRT_Hellcat_Widebody_2019Present,1220,Dodge DODGE Charger SRT Hellcat Widebody,Dodge,DODGE Charger SRT Hellcat Widebody,other,2006,2024,True
DODGE_Dakota_Club_Cab_20042011,1221,Dodge DODGE Dakota Club Cab,Dodge,DODGE Dakota Club Cab,truck,2004,2011,True
DODGE_Dart_20122014,1222,Dodge DODGE Dart,Dodge,DODGE Dart,other,2012,2014,True
DODGE_Durango_20042009,1223,Dodge DODGE Durango,Dodge,DODGE Durango,suv,1997,2024,True
DODGE_Durango_20132020,1224,Dodge DODGE Durango,Dodge,DODGE Durango,suv,1997,2024,True
DODGE_Durango_2020Present,1225,Dodge DODGE Durango,Dodge,DODGE Durango,suv,1997,2024,True
DODGE_Durango_SRT_20172020,1226,Dodge DODGE Durango SRT,Dodge,DODGE Durango SRT,suv,2017,2024,True
DODGE_Durango_SRT_2020Present,1227,Dodge DODGE Durango SRT,Dodge,DODGE Durango SRT,suv,2017,2024,True
DODGE_Grand_Caravan_20072014,1228,Dodge DODGE Grand Caravan,Dodge,DODGE Grand Caravan,van,1983,2014,True
DODGE_Journey_20082011,1229,Dodge DODGE Journey,Dodge,DODGE Journey,suv,2008,2024,True
DODGE_Journey_20112014,1230,Dodge DODGE Journey,Dodge,DODGE Journey,suv,2008,2024,True
DODGE_Magnum_20042007,1231,Dodge DODGE Magnum,Dodge,DODGE Magnum,wagon,2004,2008,True
DODGE_Nitro_20062012,1232,Dodge DODGE Nitro,Dodge,DODGE Nitro,suv,2006,2012,True
DODGE_Ram_1500_2009Present,1233,Dodge DODGE Ram 1500,Dodge,DODGE Ram 1500,truck,1993,2024,True
DODGE_SRT_Viper_20122017,1234,Dodge DODGE SRT Viper,Dodge,DODGE SRT Viper,other,1991,2017,True
DODGE_Viper_GT2_1999,1235,Dodge DODGE Viper GT2,Dodge,DODGE Viper GT2,other,1991,2017,True
DODGE_Viper_SRT10_Roadster_20032007,1236,Dodge DODGE Viper SRT10 Roadster,Dodge,DODGE Viper SRT10 Roadster,other,1991,2017,True
DODGE_Viper_SRT10_Roadster_20072010,1237,Dodge DODGE Viper SRT10 Roadster,Dodge,DODGE Viper SRT10 Roadster,other,1991,2017,True
DS_AUTOMOBILES_DS_3_20142016,1238,Dsautomobiles DS AUTOMOBILES DS 3,Dsautomobiles,DS AUTOMOBILES DS 3,other,2014,2024,True
DS_AUTOMOBILES_DS_3_Cabrio_20132016,1239,Dsautomobiles DS AUTOMOBILES DS 3 Cabrio,Dsautomobiles,DS AUTOMOBILES DS 3 Cabrio,other,2013,2018,True
DS_AUTOMOBILES_DS_3_Crossback_2018Present,1240,Dsautomobiles DS AUTOMOBILES DS 3 Crossback,Dsautomobiles,DS AUTOMOBILES DS 3 Crossback,suv,2018,2024,True
DS_AUTOMOBILES_DS_7_Crossback_20172022,1241,Dsautomobiles DS AUTOMOBILES DS 7 Crossback,Dsautomobiles,DS AUTOMOBILES DS 7 Crossback,other,2017,2024,True
DS_AUTOMOBILES_DS_7__2022Present,1242,Dsautomobiles DS AUTOMOBILES DS 7,Dsautomobiles,DS AUTOMOBILES DS 7,other,2017,2024,True
DS_AUTOMOBILES_DS_9_2020Present,1243,Dsautomobiles DS AUTOMOBILES DS 9,Dsautomobiles,DS AUTOMOBILES DS 9,other,2020,2024,True
DeLorean_DMC12_19811983,1244,Delorean DeLorean DMC12,Delorean,DeLorean DMC12,other,1981,1983,True
FERRARI_195_Inter_19501951,1245,Ferrari FERRARI 195 Inter,Ferrari,FERRARI 195 Inter,other,1950,1951,True
FERRARI_212_Export__19511952,1246,Ferrari FERRARI 212 Export,Ferrari,FERRARI 212 Export,other,1951,1953,True
FERRARI_212_Inter_19511953,1247,Ferrari FERRARI 212 Inter,Ferrari,FERRARI 212 Inter,other,1951,1953,True
FERRARI_250_Europa_19531955,1248,Ferrari FERRARI 250 Europa,Ferrari,FERRARI 250 Europa,other,1953,1964,True
FERRARI_250_GTO_19621964,1249,Ferrari FERRARI 250 GTO,Ferrari,FERRARI 250 GTO,other,1953,1964,True
FERRARI_250_GT_19541963,1250,Ferrari FERRARI 250 GT,Ferrari,FERRARI 250 GT,other,1953,1964,True
FERRARI_275_GTB_19641968,1251,Ferrari FERRARI 275 GTB,Ferrari,FERRARI 275 GTB,other,1964,1968,True
FERRARI_275_GTS_19651968,1252,Ferrari FERRARI 275 GTS,Ferrari,FERRARI 275 GTS,other,1964,1968,True
FERRARI_288_GTO_19841986,1253,Ferrari FERRARI 288 GTO,Ferrari,FERRARI 288 GTO,other,1984,2015,True
FERRARI_308_GTB_19751980,1254,Ferrari FERRARI 308 GTB,Ferrari,FERRARI 308 GTB,other,1975,1985,True
FERRARI_308_GTSi_Quattrovalvole_19821985,1255,Ferrari FERRARI 308 GTSi Quattrovalvole,Ferrari,FERRARI 308 GTSi Quattrovalvole,other,1975,1985,True
FERRARI_328_GTS_19851989,1256,Ferrari FERRARI 328 GTS,Ferrari,FERRARI 328 GTS,other,1985,1989,True
FERRARI_348_Spider_19931995,1257,Ferrari FERRARI 348 Spider,Ferrari,FERRARI 348 Spider,convertible,1993,1995,True
FERRARI_348_tb_19891993,1258,Ferrari FERRARI 348 tb,Ferrari,FERRARI 348 tb,other,1989,1994,True
FERRARI_360_Challenge_Stradale_F_131_20032005,1259,Ferrari FERRARI 360 Challenge Stradale F 131,Ferrari,FERRARI 360 Challenge Stradale F 131,other,2003,2005,True
FERRARI_360_Modena_19992004,1260,Ferrari FERRARI 360 Modena,Ferrari,FERRARI 360 Modena,other,1999,2004,True
FERRARI_360_Spider_20002005,1261,Ferrari FERRARI 360 Spider,Ferrari,FERRARI 360 Spider,convertible,2000,2005,True
FERRARI_365_GTB4_Daytona_19681974,1262,Ferrari FERRARI 365 GTB4 Daytona,Ferrari,FERRARI 365 GTB4 Daytona,other,1968,1974,True
FERRARI_365_GTS4_19691974,1263,Ferrari FERRARI 365 GTS4,Ferrari,FERRARI 365 GTS4,other,1968,1974,True
FERRARI_412_19851989,1264,Ferrari FERRARI 412,Ferrari,FERRARI 412,other,1976,1989,True
FERRARI_430_Scuderia_20072009,1265,Ferrari FERRARI 430 Scuderia,Ferrari,FERRARI 430 Scuderia,other,2004,2009,True
FERRARI_456_GT_19921997,1266,Ferrari FERRARI 456 GT,Ferrari,FERRARI 456 GT,other,1992,2003,True
FERRARI_458_Italia_20092015,1267,Ferrari FERRARI 458 Italia,Ferrari,FERRARI 458 Italia,other,2009,2015,True
FERRARI_458_Speciale_20132015,1268,Ferrari FERRARI 458 Speciale,Ferrari,FERRARI 458 Speciale,other,2013,2015,True
FERRARI_488_GTB_20152019,1269,Ferrari FERRARI 488 GTB,Ferrari,FERRARI 488 GTB,other,2015,2019,True
FERRARI_488_Spider_20162019,1270,Ferrari FERRARI 488 Spider,Ferrari,FERRARI 488 Spider,convertible,2016,2019,True
FERRARI_512_M_19941996,1271,Ferrari FERRARI 512 M,Ferrari,FERRARI 512 M,other,1984,1996,True
FERRARI_512_TR_19921994,1272,Ferrari FERRARI 512 TR,Ferrari,FERRARI 512 TR,other,1984,1996,True
FERRARI_550_Barchetta_Pininfarina_20002002,1273,Ferrari FERRARI 550 Barchetta Pininfarina,Ferrari,FERRARI 550 Barchetta Pininfarina,convertible,2000,2006,True
FERRARI_550_Maranello_19962002,1274,Ferrari FERRARI 550 Maranello,Ferrari,FERRARI 550 Maranello,other,1996,2006,True
FERRARI_575M_Maranello_20022006,1275,Ferrari FERRARI 575M Maranello,Ferrari,FERRARI 575M Maranello,other,1996,2006,True
FERRARI_575_M_Superamerica_20052006,1276,Ferrari FERRARI 575 M Superamerica,Ferrari,FERRARI 575 M Superamerica,convertible,2000,2006,True
FERRARI_599_GTB_Fiorano_20062012,1277,Ferrari FERRARI 599 GTB Fiorano,Ferrari,FERRARI 599 GTB Fiorano,other,2006,2012,True
FERRARI_599_GTO_20102012,1278,Ferrari FERRARI 599 GTO,Ferrari,FERRARI 599 GTO,other,2006,2012,True
FERRARI_612_Scaglietti_20042011,1279,Ferrari FERRARI 612 Scaglietti,Ferrari,FERRARI 612 Scaglietti,other,2004,2011,True
FERRARI_812_Superfast_2017Present,1280,Ferrari FERRARI 812 Superfast,Ferrari,FERRARI 812 Superfast,other,2017,2024,True
FERRARI_California_T_20142017,1281,Ferrari FERRARI California T,Ferrari,FERRARI California T,convertible,2014,2017,True
FERRARI_Dino_206_GT_19681969,1282,Ferrari FERRARI Dino 206 GT,Ferrari,FERRARI Dino 206 GT,other,1968,1980,True
FERRARI_Dino_308_GT4_19731980,1283,Ferrari FERRARI Dino 308 GT4,Ferrari,FERRARI Dino 308 GT4,other,1968,1980,True
FERRARI_Enzo_20022004,1284,Ferrari FERRARI Enzo,Ferrari,FERRARI Enzo,other,1984,2015,True
FERRARI_F12_Berlinetta_20122015,1285,Ferrari FERRARI F12 Berlinetta,Ferrari,FERRARI F12 Berlinetta,other,2012,2015,True
FERRARI_F12tdf_20152017,1286,Ferrari FERRARI F12tdf,Ferrari,FERRARI F12tdf,other,2015,2017,True
FERRARI_F149_California_20082011,1287,Ferrari FERRARI F149 California,Ferrari,FERRARI F149 California,convertible,2008,2017,True
FERRARI_F149_California_20122017,1288,Ferrari FERRARI F149 California,Ferrari,FERRARI F149 California,convertible,2008,2017,True
FERRARI_F355_19941999,1289,Ferrari FERRARI F355,Ferrari,FERRARI F355,other,1994,1999,True
FERRARI_F355_Spider_19951999,1290,Ferrari FERRARI F355 Spider,Ferrari,FERRARI F355 Spider,convertible,1995,1999,True
FERRARI_F40_19871992,1291,Ferrari FERRARI F40,Ferrari,FERRARI F40,other,1984,2015,True
FERRARI_F430_20042009,1292,Ferrari FERRARI F430,Ferrari,FERRARI F430,other,2004,2009,True
FERRARI_F430_Spider_20052009,1293,Ferrari FERRARI F430 Spider,Ferrari,FERRARI F430 Spider,convertible,2005,2009,True
FERRARI_F50_19951997,1294,Ferrari FERRARI F50,Ferrari,FERRARI F50,other,1984,2015,True
FERRARI_F8_Tributo_2019Present,1295,Ferrari FERRARI F8 Tributo,Ferrari,FERRARI F8 Tributo,other,2019,2024,True
FERRARI_FF_20112016,1296,Ferrari FERRARI FF,Ferrari,FERRARI FF,other,2011,2016,True
FERRARI_GTC4Lusso_2016Present,1297,Ferrari FERRARI GTC4Lusso,Ferrari,FERRARI GTC4Lusso,hatchback,2016,2024,True
FERRARI_GTC4Lusso_T_2016Present,1298,Ferrari FERRARI GTC4Lusso T,Ferrari,FERRARI GTC4Lusso T,hatchback,2016,2024,True
FERRARI_LaFerrari_20132015,1299,Ferrari FERRARI LaFerrari,Ferrari,FERRARI LaFerrari,other,1984,2015,True
FERRARI_Portofino_20172020,1300,Ferrari FERRARI Portofino,Ferrari,FERRARI Portofino,other,2017,2024,True
FERRARI_Purosangue_2022Present,1301,Ferrari FERRARI Purosangue,Ferrari,FERRARI Purosangue,suv,2022,2024,True
FERRARI_Roma_2019Present,1302,Ferrari FERRARI Roma,Ferrari,FERRARI Roma,other,2019,2024,True
FERRARI_SF90_Stradale_2019Present,1303,Ferrari FERRARI SF90 Stradale,Ferrari,FERRARI SF90 Stradale,other,2019,2024,True
FERRARI_Scuderia_Spider_16M_20082009,1304,Ferrari FERRARI Scuderia Spider 16M,Ferrari,FERRARI Scuderia Spider 16M,convertible,2008,2009,True
FERRARI_Testarossa_19841991,1305,Ferrari FERRARI Testarossa,Ferrari,FERRARI Testarossa,other,1984,1996,True
FIAT_124_Spider_2016Present,1306,Fiat FIAT 124 Spider,Fiat,FIAT 124 Spider,convertible,1966,2024,True
FIAT_126_19722000,1307,Fiat FIAT 126,Fiat,FIAT 126,hatchback,1972,2000,True
FIAT_131_Mirafiori_4_doors_19741978,1308,Fiat FIAT 131 Mirafiori 4 doors,Fiat,FIAT 131 Mirafiori 4 doors,other,1974,1981,True
FIAT_132_19721981,1309,Fiat FIAT 132,Fiat,FIAT 132,other,1972,1981,True
FIAT_2300_S_Coupe_19611962,1310,Fiat FIAT 2300 S Coupe,Fiat,FIAT 2300 S Coupe,other,1961,1962,True
FIAT_500C_Abarth_2012Present,1311,Fiat FIAT 500C Abarth,Fiat,FIAT 500C Abarth,hatchback,2008,2024,True
FIAT_500L_20122017,1312,Fiat FIAT 500L,Fiat,FIAT 500L,van,2012,2017,True
FIAT_500L_2017Present,1313,Fiat FIAT 500L,Fiat,FIAT 500L,van,2017,2024,True
FIAT_500L_Living_2013Present,1314,Fiat FIAT 500L Living,Fiat,FIAT 500L Living,van,2013,2024,True
FIAT_500L_Trekking_2013Present,1315,Fiat FIAT 500L Trekking,Fiat,FIAT 500L Trekking,van,2013,2024,True
FIAT_500X_20152018,1316,Fiat FIAT 500X,Fiat,FIAT 500X,suv,2015,2024,True
FIAT_500_20072015,1317,Fiat FIAT 500,Fiat,FIAT 500,hatchback,1957,2024,True
FIAT_500_2015Present,1318,Fiat FIAT 500,Fiat,FIAT 500,hatchback,1957,2024,True
FIAT_500_31_2020Present,1319,Fiat FIAT 500 31,Fiat,FIAT 500 31,hatchback,2020,2024,True
FIAT_500_Abarth_2008Present,1320,Fiat FIAT 500 Abarth,Fiat,FIAT 500 Abarth,hatchback,2008,2024,True
FIAT_500_Abarth_695_Tributo_Ferrari_2009Present,1321,Fiat FIAT 500 Abarth 695 Tributo Ferrari,Fiat,FIAT 500 Abarth 695 Tributo Ferrari,hatchback,2008,2024,True
FIAT_500_C_20092015,1322,Fiat FIAT 500 C,Fiat,FIAT 500 C,hatchback,1957,2024,True
FIAT_500_C_2015Present,1323,Fiat FIAT 500 C,Fiat,FIAT 500 C,hatchback,1957,2024,True
FIAT_500_Nouva_19571960,1324,Fiat FIAT 500 Nouva,Fiat,FIAT 500 Nouva,hatchback,1957,2024,True
FIAT_500_X_2018Present,1325,Fiat FIAT 500 X,Fiat,FIAT 500 X,suv,2015,2024,True
FIAT_500e_2013Present,1326,Fiat FIAT 500e,Fiat,FIAT 500e,hatchback,2013,2024,True
FIAT_500e_2020Present,1327,Fiat FIAT 500e,Fiat,FIAT 500e,hatchback,2013,2024,True
FIAT_595C_Abarth_20122015,1328,Fiat FIAT 595C Abarth,Fiat,FIAT 595C Abarth,hatchback,2008,2024,True
FIAT_595_Abarth_20122015,1329,Fiat FIAT 595 Abarth,Fiat,FIAT 595 Abarth,hatchback,2008,2024,True
FIAT_595_Abarth_20162021,1330,Fiat FIAT 595 Abarth,Fiat,FIAT 595 Abarth,hatchback,2008,2024,True
FIAT_600_19551969,1331,Fiat FIAT 600,Fiat,FIAT 600,hatchback,1955,2007,True
FIAT_695_Abarth_Biposto_2014Present,1332,Fiat FIAT 695 Abarth Biposto,Fiat,FIAT 695 Abarth Biposto,hatchback,2008,2024,True
FIAT_8V_19521954,1333,Fiat FIAT 8V,Fiat,FIAT 8V,other,1952,1954,True
FIAT_Argo_2017,1334,Fiat FIAT Argo,Fiat,FIAT Argo,hatchback,2017,,True
FIAT_Barchetta_19952003,1335,Fiat FIAT Barchetta,Fiat,FIAT Barchetta,convertible,1995,2005,True
FIAT_Barchetta_20032005,1336,Fiat FIAT Barchetta,Fiat,FIAT Barchetta,convertible,1995,2005,True
